id,cargoType,cargoDescription,originSido,originSigungu,destinationSido,destinationSigungu,weightTon,offeredFareKrw,loadingAt,unloadingAt,status
freight-001,REFRIGERATED,냉장식품,서울특별시,송파구,부산광역시,강서구,5,500000,2026-08-13T08:00:00+09:00,2026-08-13T15:00:00+09:00,PENDING
freight-002,REFRIGERATED,유제품,서울특별시,송파구,부산광역시,강서구,5,760000,2026-08-13T10:00:00+09:00,2026-08-13T18:00:00+09:00,PENDING
freight-003,GENERAL,생활용품,서울특별시,강동구,부산광역시,강서구,5,650000,2026-08-13T09:00:00+09:00,2026-08-13T17:00:00+09:00,PENDING
freight-004,FROZEN,냉동수산물,서울특별시,강남구,부산광역시,해운대구,4,700000,2026-08-13T06:00:00+09:00,2026-08-13T14:00:00+09:00,PENDING
freight-005,GENERAL,포장박스,서울특별시,마포구,인천광역시,부평구,1,140000,2026-08-13T11:00:00+09:00,2026-08-13T13:00:00+09:00,PENDING
freight-006,GENERAL,전자부품,경기도,수원시,서울특별시,송파구,2.5,330000,2026-08-13T08:00:00+09:00,2026-08-13T11:00:00+09:00,PENDING
freight-007,CONSTRUCTION,철근,경기도,화성시,충청남도,당진시,11,310000,2026-08-13T07:00:00+09:00,2026-08-13T12:00:00+09:00,PENDING
freight-008,GENERAL,화장지,인천광역시,서구,대전광역시,유성구,3.5,360000,2026-08-13T09:00:00+09:00,2026-08-13T14:00:00+09:00,PENDING
freight-009,REFRIGERATED,신선채소,경기도,평택시,부산광역시,사상구,5,610000,2026-08-13T05:00:00+09:00,2026-08-13T14:00:00+09:00,PENDING
freight-010,GENERAL,공산품,대전광역시,유성구,경기도,수원시,4,390000,2026-08-13T08:00:00+09:00,2026-08-13T13:00:00+09:00,PENDING
freight-011,GENERAL,자동차부품,울산광역시,남구,대구광역시,달서구,3,290000,2026-08-13T10:00:00+09:00,2026-08-13T13:00:00+09:00,PENDING
freight-012,REFRIGERATED,과일,대구광역시,달서구,경상북도,포항시,2,260000,2026-08-13T07:00:00+09:00,2026-08-13T11:00:00+09:00,PENDING
freight-013,GENERAL,산업자재,경상남도,창원시,부산광역시,강서구,4,230000,2026-08-13T09:00:00+09:00,2026-08-13T12:00:00+09:00,PENDING
freight-014,FROZEN,냉동만두,강원특별자치도,원주시,서울특별시,강남구,2.5,340000,2026-08-13T04:00:00+09:00,2026-08-13T08:00:00+09:00,PENDING
freight-015,CONSTRUCTION,시멘트,충청북도,청주시,세종특별자치시,세종시,10,210000,2026-08-13T06:00:00+09:00,2026-08-13T09:00:00+09:00,PENDING
freight-016,GENERAL,식자재상자,충청남도,천안시,서울특별시,송파구,3,310000,2026-08-13T08:00:00+09:00,2026-08-13T11:00:00+09:00,PENDING
freight-017,HAZARDOUS,산업용용제,인천광역시,중구,울산광역시,남구,8,680000,2026-08-13T05:00:00+09:00,2026-08-13T13:00:00+09:00,PENDING
freight-018,GENERAL,가구,전라북도,전주시,대전광역시,유성구,4,280000,2026-08-13T10:00:00+09:00,2026-08-13T14:00:00+09:00,PENDING
freight-019,GENERAL,농산물상자,광주광역시,광산구,전라남도,여수시,5,300000,2026-08-13T06:00:00+09:00,2026-08-13T11:00:00+09:00,PENDING
freight-020,GENERAL,포장재,전라남도,순천시,광주광역시,북구,2,250000,2026-08-13T09:00:00+09:00,2026-08-13T12:00:00+09:00,PENDING
freight-021,GENERAL,가전제품,경상북도,구미시,대구광역시,북구,3,220000,2026-08-13T08:00:00+09:00,2026-08-13T11:00:00+09:00,PENDING
freight-022,GENERAL,기계부품,세종특별자치시,세종시,충청남도,아산시,2.5,210000,2026-08-13T11:00:00+09:00,2026-08-13T14:00:00+09:00,PENDING
freight-023,REFRIGERATED,냉장육,부산광역시,사상구,경상남도,김해시,2,230000,2026-08-13T05:00:00+09:00,2026-08-13T08:00:00+09:00,PENDING
freight-024,GENERAL,택배상자,경기도,고양시,서울특별시,마포구,1.5,180000,2026-08-13T13:00:00+09:00,2026-08-13T15:00:00+09:00,PENDING
freight-025,GENERAL,의류,서울특별시,강서구,인천광역시,연수구,1,170000,2026-08-13T14:00:00+09:00,2026-08-13T16:00:00+09:00,PENDING
freight-026,CONSTRUCTION,합판,강원특별자치도,춘천시,경기도,남양주시,6,240000,2026-08-13T07:00:00+09:00,2026-08-13T11:00:00+09:00,PENDING
freight-027,GENERAL,건축자재,경기도,성남시,충청북도,청주시,4,320000,2026-08-13T08:00:00+09:00,2026-08-13T12:00:00+09:00,PENDING
freight-028,REFRIGERATED,유제품,서울특별시,강동구,부산광역시,해운대구,5,590000,2026-08-13T07:00:00+09:00,2026-08-13T16:00:00+09:00,PENDING
freight-029,GENERAL,철물,대전광역시,동구,대구광역시,동구,4,340000,2026-08-13T09:00:00+09:00,2026-08-13T14:00:00+09:00,PENDING
freight-030,CONSTRUCTION,배관자재,경기도,화성시,충청남도,당진시,7,300000,2026-08-13T06:00:00+09:00,2026-08-13T11:00:00+09:00,PENDING
freight-031,GENERAL,냉장고,경기도,용인시,대전광역시,서구,4,400000,2026-08-13T08:00:00+09:00,2026-08-13T14:00:00+09:00,PENDING
freight-032,GENERAL,제지,경상남도,진주시,전라남도,광양시,5,330000,2026-08-13T07:00:00+09:00,2026-08-13T12:00:00+09:00,PENDING
freight-033,REFRIGERATED,냉장음료,서울특별시,강남구,강원특별자치도,원주시,3,350000,2026-08-13T05:00:00+09:00,2026-08-13T09:00:00+09:00,PENDING
freight-034,GENERAL,생활잡화,경기도,남양주시,강원특별자치도,춘천시,2,220000,2026-08-13T10:00:00+09:00,2026-08-13T13:00:00+09:00,PENDING
freight-035,CONSTRUCTION,골재,대구광역시,북구,부산광역시,기장군,12,270000,2026-08-13T06:00:00+09:00,2026-08-13T11:00:00+09:00,PENDING
freight-036,GENERAL,전자상거래상품,부산광역시,해운대구,울산광역시,동구,2,190000,2026-08-13T11:00:00+09:00,2026-08-13T14:00:00+09:00,PENDING
freight-037,REFRIGERATED,냉장식품,서울특별시,송파구,부산광역시,강서구,5,420000,2026-08-13T12:00:00+09:00,2026-08-13T20:00:00+09:00,PENDING
freight-038,GENERAL,생활용품,서울특별시,송파구,부산광역시,강서구,5,530000,2026-08-13T13:00:00+09:00,2026-08-13T21:00:00+09:00,PENDING
freight-039,REFRIGERATED,신선채소,서울특별시,송파구,부산광역시,사상구,4.5,560000,2026-08-14T05:00:00+09:00,2026-08-14T13:00:00+09:00,PENDING
freight-040,GENERAL,공산품,서울특별시,송파구,부산광역시,강서구,3,610000,2026-08-14T08:00:00+09:00,2026-08-14T16:00:00+09:00,PENDING
freight-041,REFRIGERATED,냉장육,서울특별시,송파구,부산광역시,강서구,5,730000,2026-08-14T06:00:00+09:00,2026-08-14T14:00:00+09:00,PENDING
freight-042,GENERAL,의류,서울특별시,송파구,부산광역시,해운대구,4,580000,2026-08-14T10:00:00+09:00,2026-08-14T18:00:00+09:00,PENDING
freight-043,FROZEN,냉동식품,서울특별시,송파구,부산광역시,강서구,4,690000,2026-08-14T04:00:00+09:00,2026-08-14T12:00:00+09:00,PENDING
freight-044,REFRIGERATED,수입과일,서울특별시,송파구,부산광역시,강서구,5,390000,2026-08-14T07:00:00+09:00,2026-08-14T15:00:00+09:00,PENDING
freight-045,GENERAL,생활용품,서울특별시,송파구,부산광역시,강서구,5,680000,2026-08-14T09:00:00+09:00,2026-08-14T17:00:00+09:00,PENDING
freight-046,REFRIGERATED,냉장음료,서울특별시,송파구,부산광역시,강서구,3,470000,2026-08-14T11:00:00+09:00,2026-08-14T19:00:00+09:00,PENDING
freight-047,GENERAL,포장박스,서울특별시,송파구,부산광역시,사상구,4,510000,2026-08-14T12:00:00+09:00,2026-08-14T20:00:00+09:00,PENDING
freight-048,REFRIGERATED,냉장식품,서울특별시,강동구,부산광역시,강서구,5,520000,2026-08-14T08:00:00+09:00,2026-08-14T16:00:00+09:00,PENDING
freight-049,GENERAL,전자부품,서울특별시,강남구,부산광역시,강서구,4,600000,2026-08-14T09:00:00+09:00,2026-08-14T17:00:00+09:00,PENDING
freight-050,REFRIGERATED,냉장유제품,서울특별시,마포구,부산광역시,강서구,4,540000,2026-08-14T06:00:00+09:00,2026-08-14T14:00:00+09:00,PENDING
freight-051,GENERAL,공산품,서울특별시,송파구,부산광역시,강서구,4,720000,2026-08-14T13:00:00+09:00,2026-08-14T21:00:00+09:00,PENDING
freight-052,REFRIGERATED,냉장식품,서울특별시,송파구,부산광역시,강서구,5,450000,2026-08-15T05:00:00+09:00,2026-08-15T13:00:00+09:00,PENDING
freight-053,GENERAL,생활잡화,서울특별시,강동구,부산광역시,강서구,3,490000,2026-08-15T07:00:00+09:00,2026-08-15T15:00:00+09:00,PENDING
freight-054,REFRIGERATED,신선식품,서울특별시,송파구,부산광역시,강서구,5,800000,2026-08-15T06:00:00+09:00,2026-08-15T14:00:00+09:00,PENDING
freight-055,GENERAL,가구,서울특별시,송파구,부산광역시,사상구,4,550000,2026-08-15T10:00:00+09:00,2026-08-15T18:00:00+09:00,PENDING
freight-056,FROZEN,냉동수산물,서울특별시,송파구,부산광역시,강서구,4,740000,2026-08-15T04:00:00+09:00,2026-08-15T12:00:00+09:00,PENDING
freight-057,REFRIGERATED,냉장육,서울특별시,송파구,부산광역시,강서구,5,510000,2026-08-15T09:00:00+09:00,2026-08-15T17:00:00+09:00,PENDING
freight-058,GENERAL,전자상거래상품,서울특별시,송파구,부산광역시,강서구,2.5,430000,2026-08-15T11:00:00+09:00,2026-08-15T19:00:00+09:00,PENDING
freight-059,REFRIGERATED,유제품,서울특별시,송파구,부산광역시,해운대구,4,570000,2026-08-15T08:00:00+09:00,2026-08-15T16:00:00+09:00,PENDING
freight-060,GENERAL,포장재,서울특별시,송파구,부산광역시,강서구,3.5,640000,2026-08-15T12:00:00+09:00,2026-08-15T20:00:00+09:00,PENDING
freight-061,REFRIGERATED,신선식품-01,서울특별시,송파구,부산광역시,강서구,4.5,780000,2026-08-13T10:00:00+09:00,2026-08-13T17:00:00+09:00,PENDING
freight-062,GENERAL,생활용품-01,서울특별시,송파구,부산광역시,강서구,4.5,800000,2026-08-14T11:00:00+09:00,2026-08-14T19:00:00+09:00,PENDING
freight-063,GENERAL,전자부품-01,서울특별시,강동구,부산광역시,강서구,3.5,450000,2026-08-15T12:00:00+09:00,2026-08-15T21:00:00+09:00,PENDING
freight-064,FROZEN,냉동수산물-01,서울특별시,강남구,부산광역시,해운대구,3.5,590000,2026-08-16T13:00:00+09:00,2026-08-16T15:00:00+09:00,PENDING
freight-065,GENERAL,포장박스-01,서울특별시,마포구,인천광역시,부평구,0.5,140000,2026-08-17T14:00:00+09:00,2026-08-17T17:00:00+09:00,PENDING
freight-066,GENERAL,기계부품-01,경기도,수원시,서울특별시,송파구,2,330000,2026-08-18T04:00:00+09:00,2026-08-18T08:00:00+09:00,PENDING
freight-067,CONSTRUCTION,철근-01,경기도,화성시,충청남도,당진시,10.5,320000,2026-08-19T05:00:00+09:00,2026-08-19T10:00:00+09:00,PENDING
freight-068,GENERAL,공산품-01,인천광역시,서구,대전광역시,유성구,3,410000,2026-08-20T06:00:00+09:00,2026-08-20T12:00:00+09:00,PENDING
freight-069,REFRIGERATED,신선채소-01,경기도,평택시,부산광역시,사상구,4.5,770000,2026-08-21T07:00:00+09:00,2026-08-21T14:00:00+09:00,PENDING
freight-070,GENERAL,자동차부품-01,대전광역시,유성구,경기도,수원시,3.5,280000,2026-08-22T08:00:00+09:00,2026-08-22T16:00:00+09:00,PENDING
freight-071,GENERAL,산업자재-01,울산광역시,남구,대구광역시,달서구,2.5,230000,2026-08-13T09:00:00+09:00,2026-08-13T18:00:00+09:00,PENDING
freight-072,REFRIGERATED,과일-01,대구광역시,달서구,경상북도,포항시,1.5,240000,2026-08-14T10:00:00+09:00,2026-08-14T12:00:00+09:00,PENDING
freight-073,GENERAL,택배상자-01,경상남도,창원시,부산광역시,강서구,3.5,240000,2026-08-15T11:00:00+09:00,2026-08-15T14:00:00+09:00,PENDING
freight-074,FROZEN,냉동만두-01,강원특별자치도,원주시,서울특별시,강남구,2,360000,2026-08-16T12:00:00+09:00,2026-08-16T16:00:00+09:00,PENDING
freight-075,CONSTRUCTION,시멘트-01,충청북도,청주시,세종특별자치시,세종시,9.5,250000,2026-08-17T13:00:00+09:00,2026-08-17T18:00:00+09:00,PENDING
freight-076,GENERAL,식자재상자-01,충청남도,천안시,서울특별시,송파구,2.5,390000,2026-08-18T14:00:00+09:00,2026-08-18T20:00:00+09:00,PENDING
freight-077,HAZARDOUS,산업용용제-01,인천광역시,중구,울산광역시,남구,7.5,490000,2026-08-19T04:00:00+09:00,2026-08-19T11:00:00+09:00,PENDING
freight-078,GENERAL,가구-01,전라북도,전주시,대전광역시,유성구,3.5,230000,2026-08-20T05:00:00+09:00,2026-08-20T13:00:00+09:00,PENDING
freight-079,GENERAL,농산물상자-01,광주광역시,광산구,전라남도,여수시,4.5,280000,2026-08-21T06:00:00+09:00,2026-08-21T15:00:00+09:00,PENDING
freight-080,GENERAL,포장재-01,전라남도,순천시,광주광역시,북구,1.5,250000,2026-08-22T07:00:00+09:00,2026-08-22T09:00:00+09:00,PENDING
freight-081,GENERAL,가전제품-01,경상북도,구미시,대구광역시,북구,2.5,240000,2026-08-13T08:00:00+09:00,2026-08-13T11:00:00+09:00,PENDING
freight-082,GENERAL,정밀부품-01,세종특별자치시,세종시,충청남도,아산시,2,250000,2026-08-14T09:00:00+09:00,2026-08-14T13:00:00+09:00,PENDING
freight-083,REFRIGERATED,냉장육-01,부산광역시,사상구,경상남도,김해시,1.5,300000,2026-08-15T10:00:00+09:00,2026-08-15T15:00:00+09:00,PENDING
freight-084,GENERAL,의류-01,경기도,고양시,서울특별시,마포구,1,140000,2026-08-16T11:00:00+09:00,2026-08-16T17:00:00+09:00,PENDING
freight-085,REFRIGERATED,신선식품-02,서울특별시,송파구,부산광역시,강서구,5,620000,2026-08-17T13:00:00+09:00,2026-08-17T20:00:00+09:00,PENDING
freight-086,GENERAL,생활용품-02,서울특별시,송파구,부산광역시,강서구,5,640000,2026-08-18T14:00:00+09:00,2026-08-18T22:00:00+09:00,PENDING
freight-087,GENERAL,전자부품-02,서울특별시,강동구,부산광역시,강서구,4,660000,2026-08-19T04:00:00+09:00,2026-08-19T13:00:00+09:00,PENDING
freight-088,FROZEN,냉동수산물-02,서울특별시,강남구,부산광역시,해운대구,4,820000,2026-08-20T05:00:00+09:00,2026-08-20T07:00:00+09:00,PENDING
freight-089,GENERAL,포장박스-02,서울특별시,마포구,인천광역시,부평구,1,190000,2026-08-21T06:00:00+09:00,2026-08-21T09:00:00+09:00,PENDING
freight-090,GENERAL,기계부품-02,경기도,수원시,서울특별시,송파구,2.5,240000,2026-08-22T07:00:00+09:00,2026-08-22T11:00:00+09:00,PENDING
freight-091,CONSTRUCTION,철근-02,경기도,화성시,충청남도,당진시,11,250000,2026-08-13T08:00:00+09:00,2026-08-13T13:00:00+09:00,PENDING
freight-092,GENERAL,공산품-02,인천광역시,서구,대전광역시,유성구,3.5,330000,2026-08-14T09:00:00+09:00,2026-08-14T15:00:00+09:00,PENDING
freight-093,REFRIGERATED,신선채소-02,경기도,평택시,부산광역시,사상구,5,610000,2026-08-15T10:00:00+09:00,2026-08-15T17:00:00+09:00,PENDING
freight-094,GENERAL,자동차부품-02,대전광역시,유성구,경기도,수원시,4,410000,2026-08-16T11:00:00+09:00,2026-08-16T19:00:00+09:00,PENDING
freight-095,GENERAL,산업자재-02,울산광역시,남구,대구광역시,달서구,3,320000,2026-08-17T12:00:00+09:00,2026-08-17T21:00:00+09:00,PENDING
freight-096,REFRIGERATED,과일-02,대구광역시,달서구,경상북도,포항시,2,330000,2026-08-18T13:00:00+09:00,2026-08-18T15:00:00+09:00,PENDING
freight-097,GENERAL,택배상자-02,경상남도,창원시,부산광역시,강서구,4,170000,2026-08-19T14:00:00+09:00,2026-08-19T17:00:00+09:00,PENDING
freight-098,FROZEN,냉동만두-02,강원특별자치도,원주시,서울특별시,강남구,2.5,280000,2026-08-20T04:00:00+09:00,2026-08-20T08:00:00+09:00,PENDING
freight-099,CONSTRUCTION,시멘트-02,충청북도,청주시,세종특별자치시,세종시,10,200000,2026-08-21T05:00:00+09:00,2026-08-21T10:00:00+09:00,PENDING
freight-100,GENERAL,식자재상자-02,충청남도,천안시,서울특별시,송파구,3,310000,2026-08-22T06:00:00+09:00,2026-08-22T12:00:00+09:00,PENDING
freight-101,HAZARDOUS,산업용용제-02,인천광역시,중구,울산광역시,남구,8,720000,2026-08-13T07:00:00+09:00,2026-08-13T14:00:00+09:00,PENDING
freight-102,GENERAL,가구-02,전라북도,전주시,대전광역시,유성구,4,320000,2026-08-14T08:00:00+09:00,2026-08-14T16:00:00+09:00,PENDING
freight-103,GENERAL,농산물상자-02,광주광역시,광산구,전라남도,여수시,5,380000,2026-08-15T09:00:00+09:00,2026-08-15T18:00:00+09:00,PENDING
freight-104,GENERAL,포장재-02,전라남도,순천시,광주광역시,북구,2,180000,2026-08-16T10:00:00+09:00,2026-08-16T12:00:00+09:00,PENDING
freight-105,GENERAL,가전제품-02,경상북도,구미시,대구광역시,북구,3,190000,2026-08-17T11:00:00+09:00,2026-08-17T14:00:00+09:00,PENDING
freight-106,GENERAL,정밀부품-02,세종특별자치시,세종시,충청남도,아산시,2.5,200000,2026-08-18T12:00:00+09:00,2026-08-18T16:00:00+09:00,PENDING
freight-107,REFRIGERATED,냉장육-02,부산광역시,사상구,경상남도,김해시,2,240000,2026-08-19T13:00:00+09:00,2026-08-19T18:00:00+09:00,PENDING
freight-108,GENERAL,의류-02,경기도,고양시,서울특별시,마포구,1.5,200000,2026-08-20T14:00:00+09:00,2026-08-20T20:00:00+09:00,PENDING
freight-109,REFRIGERATED,신선식품-03,서울특별시,송파구,부산광역시,강서구,5.5,850000,2026-08-21T05:00:00+09:00,2026-08-21T12:00:00+09:00,PENDING
freight-110,GENERAL,생활용품-03,서울특별시,송파구,부산광역시,강서구,5.5,460000,2026-08-22T06:00:00+09:00,2026-08-22T14:00:00+09:00,PENDING
freight-111,GENERAL,전자부품-03,서울특별시,강동구,부산광역시,강서구,4.5,510000,2026-08-13T07:00:00+09:00,2026-08-13T16:00:00+09:00,PENDING
freight-112,FROZEN,냉동수산물-03,서울특별시,강남구,부산광역시,해운대구,4.5,650000,2026-08-14T08:00:00+09:00,2026-08-14T10:00:00+09:00,PENDING
freight-113,GENERAL,포장박스-03,서울특별시,마포구,인천광역시,부평구,1.5,150000,2026-08-15T09:00:00+09:00,2026-08-15T12:00:00+09:00,PENDING
freight-114,GENERAL,기계부품-03,경기도,수원시,서울특별시,송파구,3,350000,2026-08-16T10:00:00+09:00,2026-08-16T14:00:00+09:00,PENDING
freight-115,CONSTRUCTION,철근-03,경기도,화성시,충청남도,당진시,11.5,350000,2026-08-17T11:00:00+09:00,2026-08-17T16:00:00+09:00,PENDING
freight-116,GENERAL,공산품-03,인천광역시,서구,대전광역시,유성구,4,450000,2026-08-18T12:00:00+09:00,2026-08-18T18:00:00+09:00,PENDING
